page,image,section,feature,source_view,status,build_commit,captured_on
3,screenshots/n1_intelligence.png,New this build,Insights - daily market intelligence,Insights > Pulse,Shipped,df5ef2c,2026-07-01
4,screenshots/n2_signal_stack.png,New this build,Signal Stack - events/risks/opportunities,Insights > Pulse,Shipped,df5ef2c,2026-07-01
5,screenshots/n3_add_calendar.png,New this build,Add to Calendar - Google Calendar link,Insights > Pulse,Shipped,df5ef2c,2026-07-01
6,screenshots/n4_ai_mode.png,New this build,Data Audit AI Mode,Data Audit,Shipped,df5ef2c,2026-07-01
7,screenshots/n5_instant_chart.png,New this build,Instant Visualisation (chart),Data Audit,Shipped,df5ef2c,2026-07-01
8,screenshots/n6_pulse_curated.png,New this build,Pulse - curated view,Insights > Pulse,Shipped,df5ef2c,2026-07-01
9,screenshots/t1_industry_band.png,Earlier checklist (refreshed),Life insurance removed from industry data,Industry,Shipped,df5ef2c,2026-07-01
10,screenshots/t2_gi_pie.png,Earlier checklist (refreshed),"GI segment pie (Health, Motor, ...)",Industry,Shipped,df5ef2c,2026-07-01
11,screenshots/t3_fy26_premium.png,Earlier checklist (refreshed),FY25 -> FY26 references,SAHI > Premium & Distribution,Shipped,df5ef2c,2026-07-01
12,screenshots/t4_star_scorecard_igaap.png,Earlier checklist (refreshed),Star Health data visibility,SAHI > Companies,Shipped,df5ef2c,2026-07-01
13,screenshots/t5_scorecard_ifrs.png,Earlier checklist (refreshed),IGAAP / IFRS toggle,SAHI > Companies,Shipped,df5ef2c,2026-07-01
14,screenshots/t6_product_mix.png,Earlier checklist (refreshed),Channel / retail-mix conflict resolved,SAHI > Premium & Distribution,Shipped,df5ef2c,2026-07-01
15,screenshots/t7_promise_tracker.png,Earlier checklist (refreshed),'60% guidance delivered' clarified,SAHI > Governance,Shipped,df5ef2c,2026-07-01
-,screenshots/t5_toggle_ifrs.png,supporting: IFRS toggle control,,,,df5ef2c,2026-07-01
-,screenshots/t5_toggle_igaap.png,supporting: IGAAP toggle state,,,,df5ef2c,2026-07-01
-,screenshots/t5_ifrs_note.png,supporting: IFRS basis note,,,,df5ef2c,2026-07-01
-,screenshots/t6_channel_mix.png,supporting: channel mix chart,,,,df5ef2c,2026-07-01
-,screenshots/t7_signal.png,supporting: governance signal banner,,,,df5ef2c,2026-07-01
-,screenshots/n6b_correlations.png,supporting: Pulse correlations,,,,df5ef2c,2026-07-01
