#,item,type,status,page
01,Remove life insurance from industry data,Refinement,Done,13
02,"Pie chart for general insurance (Health, Motor)",Refinement,Done,14
03,All figures on FY26 (2026),Refinement,Done,15
04,Star Health data visibility,Refinement,Done,16
05,IGAAP / IFRS toggle,Refinement,Done,17
06,Channel / retail-mix conflict (67% vs 88-96%),Refinement,Done,18
07,Clarify '60% guidance delivered' (3 of 5),Refinement,Done,19
N1,Insights - daily market intelligence,New feature,Shipped,4
N2,Today's Read,New feature,Shipped,5
N3,Signal Stack,New feature,Shipped,6
N4,Add to Calendar (Google Calendar link),New feature,Shipped,7
N5,Pulse - curated view / correlations,New feature,Shipped,8
N6,Data Audit AI Mode,New feature,Shipped,10
N7,Instant Visualisation (chart),New feature,Shipped,11
